583.55304,1475,0.00011;603.41467,1238.98083,-11.49219;652.5766,1076.50403,-12.375;700.19299,957.48645,-9.42969;747.33905,838.9563,-6.07031;749.84015,1288.59814,-2.49609;804.54926,1190.91455,8.6875;826.31116,1105.71936,19.625;837.09424,1055.90552,27.3125;747.28619,1373.20349,10.14844;782.36871,1245.51648,24.03125;770.60376,1144.13977,32.46875;762.32513,1108.22864,37.15625;735.25293,1422.55688,22.75;761.98309,1312.89355,35.78125;752.72107,1224.72888,40.34375;743.4126,1192.22681,41.90625;721.9248,1450.42114,34.25;740.80505,1362.35852,44.09375;736.25677,1296.2373,47.28125;731.12463,1265.84631,49.21875;
583.55304,1475,0.00011;603.41467,1238.98083,-11.49219;652.5766,1076.50403,-12.375;700.19299,957.48645,-9.42969;747.33905,838.9563,-6.07031;749.84015,1288.59814,-2.49609;804.54926,1190.91455,8.6875;826.31116,1105.71936,19.625;837.09424,1055.90552,27.3125;747.28619,1373.20349,10.14844;782.36871,1245.51648,24.03125;770.60376,1144.13977,32.46875;762.32513,1108.22864,37.15625;735.25293,1422.55688,22.75;761.98309,1312.89355,35.78125;752.72107,1224.72888,40.34375;743.4126,1192.22681,41.90625;721.9248,1450.42114,34.25;740.80505,1362.35852,44.09375;736.25677,1296.2373,47.28125;731.12463,1265.84631,49.21875;
575.06573,1483.3584,0.00029;594.81689,1247.55615,-10.84375;643.80048,1081.33276,-12.05469;689.2478,964.77197,-9.34375;733.08704,849.62482,-7.0625;746.12183,1300.84583,-4.37891;801.39081,1194.73584,7.5625;824.2774,1114.27783,17.60938;833.65552,1070.6416,23.79688;742.55762,1393.57458,8.73438;768.62915,1232.7655,25.07812;748.0462,1127.17834,30.03125;732.91821,1103.19324,29.45312;728.76813,1445.74841,22.5625;744.50378,1311.78601,37.34375;727.70227,1224.54431,37.65625;714.02002,1203.24792,34.3125;715.14514,1481.81372,35.59375;724.6391,1379.87915,46.15625;713.87311,1314.82458,46.71875;706.09167,1294.82654,45.3125;
575.06573,1483.3584,0.00029;594.81689,1247.55615,-10.84375;643.80048,1081.33276,-12.05469;689.2478,964.77197,-9.34375;733.08704,849.62482,-7.0625;746.12183,1300.84583,-4.37891;801.39081,1194.73584,7.5625;824.2774,1114.27783,17.60938;833.65552,1070.6416,23.79688;742.55762,1393.57458,8.73438;768.62915,1232.7655,25.07812;748.0462,1127.17834,30.03125;732.91821,1103.19324,29.45312;728.76813,1445.74841,22.5625;744.50378,1311.78601,37.34375;727.70227,1224.54431,37.65625;714.02002,1203.24792,34.3125;715.14514,1481.81372,35.59375;724.6391,1379.87915,46.15625;713.87311,1314.82458,46.71875;706.09167,1294.82654,45.3125;
546.83301,1461.22705,-0.00033;570.06323,1214.15234,-2.91211;621.89935,1051.85657,-2.22852;664.21265,925.70605,0.89307;697.6969,792.82281,4.65234;719.28027,1227.28662,6.76562;760.85681,1126.41943,23.48438;762.25739,1069.18042,35.78125;761.04211,1055.29028,41.25;710.72882,1347.6438,15.71875;734.12445,1241.70117,33.71875;713.32397,1177.90625,42.21875;697.54095,1171.82532,45.0625;689.61255,1431.11145,25.73438;705.50781,1338.13794,42.96875;686.47028,1274.51672,48.09375;669.7616,1262.77966,48.6875;667.24719,1494.55493,35.46875;679.7182,1419.63647,48.84375;668.51746,1364.6781,53.8125;658.43011,1347.71375,56.21875;
512.94049,1459.08838,-0.00041;517.28308,1190.43909,1.42188;556.15802,1014.41144,6.09375;595.0083,906.86188,13.89844;623.80762,832.02142,23.60938;671.19586,1146.86035,4.99219;733.68378,1034.81091,19.79688;742.37122,978.71771,35.75;736.5033,955.06049,46.6875;679.56061,1280.24841,14.25781;730.57001,1169.08167,31.59375;722.71338,1100.97327,49;703.48663,1067.05408,61.15625;668.67169,1378.32166,24.875;703.01483,1282.66541,42.21875;692.60559,1210.66809,55.8125;673.88458,1172.15503,64;650.00482,1452.36377,35.625;671.63916,1367.77808,50.875;664.67682,1306.97119,61.0625;651.20081,1272.17859,68.0625;
512.94049,1459.08838,-0.00041;517.28308,1190.43909,1.42188;556.15802,1014.41144,6.09375;595.0083,906.86188,13.89844;623.80762,832.02142,23.60938;671.19586,1146.86035,4.99219;733.68378,1034.81091,19.79688;742.37122,978.71771,35.75;736.5033,955.06049,46.6875;679.56061,1280.24841,14.25781;730.57001,1169.08167,31.59375;722.71338,1100.97327,49;703.48663,1067.05408,61.15625;668.67169,1378.32166,24.875;703.01483,1282.66541,42.21875;692.60559,1210.66809,55.8125;673.88458,1172.15503,64;650.00482,1452.36377,35.625;671.63916,1367.77808,50.875;664.67682,1306.97119,61.0625;651.20081,1272.17859,68.0625;
515.56647,1397.55542,-0.0003;509.57376,1155.09229,0.09308;543.41254,995.77283,3.60742;582.18024,887.65814,9.96875;613.63239,788.58081,18.64062;643.23187,1111.98022,8.39844;703.11273,1029.00757,20.29688;722.43323,983.51227,35.65625;727.75439,959.10083,47.375;654.48138,1235.28369,17.125;714.16425,1172.2771,29.34375;720.23657,1122.03809,45.8125;713.58728,1089.66785,59.46875;651.17584,1337.86292,26.4375;698.6402,1292.18506,39.34375;703.53296,1235.83765,54.21875;697.56268,1197.47095,65.25;639.05933,1419.8739,35.71875;674.14154,1389.06677,47.5;680.28564,1346.6521,58.21875;677.38501,1316.05261,67.1875;
515.56647,1397.55542,-0.0003;509.57376,1155.09229,0.09308;543.41254,995.77283,3.60742;582.18024,887.65814,9.96875;613.63239,788.58081,18.64062;643.23187,1111.98022,8.39844;703.11273,1029.00757,20.29688;722.43323,983.51227,35.65625;727.75439,959.10083,47.375;654.48138,1235.28369,17.125;714.16425,1172.2771,29.34375;720.23657,1122.03809,45.8125;713.58728,1089.66785,59.46875;651.17584,1337.86292,26.4375;698.6402,1292.18506,39.34375;703.53296,1235.83765,54.21875;697.56268,1197.47095,65.25;639.05933,1419.8739,35.71875;674.14154,1389.06677,47.5;680.28564,1346.6521,58.21875;677.38501,1316.05261,67.1875;
509.8653,1405.80469,-0.00071;501.13519,1170.91785,-2.9707;534.04474,1005.50336,-1.49707;570.66498,897.22668,2.94336;598.49261,800.83173,9.02344;636.32184,1107.76013,3.71875;696.95111,1021.90424,14.8125;717.07648,974.23553,28.65625;724.83197,949.87506,39.34375;645.79877,1232.5199,13.79688;707.20105,1167.77307,25.73438;718.03784,1116.99597,41.21875;716.11346,1081.12549,53.875;641.59113,1335.14685,24.26562;688.99274,1286.21777,36.78125;698.16949,1229.32654,50.09375;695.45593,1188.47241,60.03125;629.39728,1415.427,34.5625;662.64313,1381.96008,45.71875;671.76691,1339.08948,55.15625;672.17969,1304.24707,63.09375;
